x1 y1 x2 y2 trajectory_index cluster
216.13 1046.52  225.61 1043.23  1 0
225.61 1043.23  232.97 1038.79  1 0
232.97 1038.79  240.81 1031.84  1 0
240.81 1031.84  252.81 1016.52  1 0
252.81 1016.52  268.45 989.03  1 0
268.45 989.03  287.54 947.3  1 0
287.54 947.3  314.35 886.29  1 0
314.35 886.29  367.35 779.09  1 0
367.35 779.09  380.05 757.03  1 0
380.05 757.03  398.1 728.54  1 0
398.1 728.54  405.09 720.59  1 0
405.09 720.59  414.26 712.25  1 0
414.26 712.25  432.31 700.15  1 0
432.31 700.15  452.05 690.74  1 0
452.05 690.74  463.55 686.71  1 0
463.55 686.71  473.13 685.1  1 0
473.13 685.1  482.44 684.95  1 0
482.44 684.95  500.98 688.13  1 0
500.98 688.13  512.36 691.59  1 0
1312 -432  1299.55 -418.41  2 1
1299.55 -418.41  1311.72 -417.02  2 1
1311.72 -417.02  1318.54 -414.38  2 1
1318.54 -414.38  1323.57 -411.42  2 1
1323.57 -411.42  1330.37 -405.82  2 1
1330.37 -405.82  1335.55 -399.58  2 1
1335.55 -399.58  1348.3 -374.76  2 1
1348.3 -374.76  1364.79 -337.44  2 1
1364.79 -337.44  1367.8 -326.07  2 1
1367.8 -326.07  1370.05 -296  2 1
1370.05 -296  1371.35 -284.19  2 1
1371.35 -284.19  1370.63 -263.45  2 1
1370.63 -263.45  1366.42 -220.17  2 1
1366.42 -220.17  1363.19 -207.73  2 1
1363.19 -207.73  1358.86 -198.31  2 1
1358.86 -198.31  1352.13 -188.6  2 1
1352.13 -188.6  1346.39 -182.45  2 1
1346.39 -182.45  1337.43 -174.82  2 1
1337.43 -174.82  1320.1 -164.22  2 1
1320.1 -164.22  1299.4 -155.55  2 1
1299.4 -155.55  1267.28 -146.3  2 1
1267.28 -146.3  1236.35 -140.11  2 1
1236.35 -140.11  1188.69 -133.29  2 1
1188.69 -133.29  1127.26 -129.41  2 1
1127.26 -129.41  1061.13 -125.74  2 1
1061.13 -125.74  1035.35 -123.34  2 1
1035.35 -123.34  1019.28 -120.04  2 1
1019.28 -120.04  985.63 -106.11  2 1
985.63 -106.11  966.52 -98.43  2 1
966.52 -98.43  933.52 -89.5  2 1
933.52 -89.5  892.88 -79.84  2 1
892.88 -79.84  805.65 -58.36  2 1
805.65 -58.36  462.28 19.42  2 1
462.28 19.42  366.07 40.71  2 -2
8 1672  8.74 1679.45  3 0
8.74 1679.45  12.21 1691.28  3 0
12.21 1691.28  15.39 1698.14  3 0
15.39 1698.14  20.03 1699.88  3 0
20.03 1699.88  25.87 1699.88  3 0
25.87 1699.88  26.04 1683.46  3 0
26.04 1683.46  28.07 1677.84  3 0
28.07 1677.84  31.11 1672.47  3 0
31.11 1672.47  34.58 1659.76  3 0
34.58 1659.76  37.83 1652.36  3 0
37.83 1652.36  49.78 1633.81  3 0
49.78 1633.81  59.27 1624.35  3 0
59.27 1624.35  77.12 1611.61  3 0
77.12 1611.61  80.06 1603.29  3 0
80.06 1603.29  91.88 1584.68  3 0
91.88 1584.68  106.28 1565.6  3 0
106.28 1565.6  117.22 1556.31  3 0
117.22 1556.31  127.31 1550.66  3 0
127.31 1550.66  140.15 1545.52  3 0
140.15 1545.52  159.15 1540.11  3 0
159.15 1540.11  193.93 1533.11  3 0
193.93 1533.11  216.49 1529.24  3 0
216.49 1529.24  233.99 1522.68  3 0
233.99 1522.68  242.31 1516.91  3 0
